|Angelika Bajak| |Spó³dzielnia Kostek| 9228025644 05360332630295
|Ksawery Dziopa| |FPUH Dryga³a| 9110174869 91502659206090
|pan B³a¿ej Majos| |Strzelczak-Owsiany Sp. z o.o. Sp.k.| 1633726780 75238258055880
|Patryk Szygu³a| |Fundacja Miœko Sp.j.| 1388895456 61273756377754
|Julian Pociask| |Stowarzyszenie Tadla-Wojaczek s.c.| 2119952856 77581600027155
|Kornelia Dziadkiewicz| |Spó³dzielnia Reimann-Œlebioda Sp. z o.o.| 8336543625 41428850394919
|Karina Litwinowicz| |PPUH Becker| 7479473770 95837215159712
|pani Justyna Bryja| |Barteczko S.A.| 3890980487 55759685084475
|Marika Kucharz| |Spó³dzielnia Bek-Drost s.c.| 5199864480 77931186338426
|pan Dawid Jasnoch| |FPUH Jaroch| 4575566828 51484934154515
